review,sentiment
"very, very, slow-moving, aimless movi distressed, drift young man.",0
"sure lost - flat charact audience, near half walk out.",0
"attempt arti black & white clever camera angles, movi disappoint - becam even ridicul - act poor plot line almost non-existent.",0
littl music anyth speak of.,0
best scene movi gerardo tri find song keep run head.,1
"rest movi lack art, charm, meaning... emptiness, work guess empty.",0
wast two hours.,0
"saw movi today thought good effort, good messag kids.",1
bit predictable.,0
love cast jimmi buffet scienc teacher.,1
babi owl adorable.,1
"movi show lot florida best, made look appealing.",1
song best muppet hilarious.,1
cool.,1
"""right case"" movi deliv everyth almost right face.",1
"averag act main person, low budget clear see.",0
"review long overdue, sinc consid tale two sister singl greatest film ever made.",1
"i'll put gem movi term screenplay, cinematography, acting, post-production, editing, directing, aspect film-making.",1
"practic perfect  true masterpiec sea faux ""masterpieces.",1
